pairID	gold_label	Sentence1	Sentence2	Explanation_1	Explanation_2	Explanation_3	Sentence1_si	Sentence2_si	Explanation_1_si	large_4k	small_4k	small_50k	large_4k_grade	small_4k_grade	small_50k_grade
4731948760.jpg#4r1c	contradiction	Two person are walking on the streets.	The two people re sitting inside.	The people are either walking or sitting. The location is either outside on the streets or inside.	If they are walking on the streets, they are not sitting inside.	Someone cannot be walking and sitting the same time.	Dve osebi hodita po ulicah.	Dve osebi sedita notri.	Ljudje ali hodijo ali sedijo. Lokacija je zunaj na ulicah ali znotraj.	Ljudje so bodisi na ulicah ali v zaprtih prostorih.	Ljudje ne morejo hoditi in hoditi hkrati.	Ljudje ne morejo hoditi in sedeti hkrati.	1	0	1
118647903.jpg#3r1c	contradiction	Two male soccer players on opposing teams are trying to get the soccer ball.	Two women compete in a tennis match.	The male players and women players belong to different genders. People can't play soccer and tennis simultaneously.	Two male soccer players are not the same as women playing tennis.	Male soccer players are different than women competing in a tennis match.	Dva moška nogometaša iz nasprotnih ekip poskušata dobiti nogometno žogo.	Dve ženski tekmujeta v teniški tekmi.	Igralci in igralke pripadajo različnim spolom. Ljudje ne morejo igrati nogometa in tenisa hkrati.	Dva moška nogometaša iz nasprotnih ekip ne moreta biti hkrati dve ženski.	Nogometaši ne morejo teči v teniški tekmi.	Moški in ženske so različni.	1	1	1
4666848560.jpg#0r1n	neutral	Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.	The six people are all police.	Not all people are police.	two cars with 6 people doesn't imply all  6 people are police	The six people don't have to be the police.	Modra, rdeča, rumena in bela so prevladujoče barve na sliki dveh policijskih vozil zunaj nečesa, kar je videti kot vozilo, ki igra dim, motorno kolo med dvema avtomobiloma s 6 ljudmi na sliki.	Vseh šest ljudi je policija.	Niso vsi ljudje policisti.	Policija je vrsta vozila in policijsko vozilo je sestavljeno iz šestih ljudi.	Samo zato, ker so policisti, še ne pomeni, da so policisti.	Policija je lahko policija ali pa je policija.	0	0	0
6321336904.jpg#0r1c	contradiction	3 women run in a marathon with the crowd in the background, one with the label Galina and another the label Inga, and the 3rd running close behind them in blue.	There are no women running.	No women running one sentence and the women run in the other.	No women indicates 0 women. 3 is more than 0.	Either women are running or none of running, it can't be both.	3 ženske tečejo na maratonu z množico v ozadju, ena z oznako Galina in druga z oznako Inga, tretja pa tik za njimi v modrem.	Nobena ženska ne teče.	Nobena ženska ne teče v enem stavku in ženske v drugem.	Če nobena ženska ne teče, potem ne more teči.	Ženske ne morejo teči, če tečejo.	Ženske ne morejo teči in teči hkrati.	1	0	0
5563345549.jpg#0r1e	entailment	A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.	The woman is sitting.	Sitting down doing some sort of craft work is a form of sitting.	Craft work can be done while sitting	As a loom device is being operated the woman is sitting doing a craft.	Ženska sedi in opravlja nekakšno obrtno delo, medtem ko druga oseba v ozadju upravlja veliko leseno statveno napravo.	Ženska sedi.	Sedenje in opravljanje neke vrste obrtnega dela je oblika sedenja.	Ženska sedi.	Ženska ne more biti hkrati ženska in ženska.	Ženska sedi in opravlja obrtno delo je preoblikovana beseda ženska sedi.	0	0	0
4897479032.jpg#0r1c	contradiction	A shirtless man is painting over a graffiti filled wall with a paint roller.	A man is scrubbing graffiti off the wall.	He cannot be painting over a graffiti filled wall and scrubbing graffiti off the wall simultaneously.	SCRUBBING IS DIFFERENT FROM PAINTING	The man is either scrubbing or painting.	Moški brez srajce slika po steni, polni grafitov, z valjčkom.	Moški drgne grafite s stene.	Ne more slikati po steni, polni grafitov, in hkrati drgniti grafite s stene.	Človek brez srajce slika po steni, polni grafitov, z valjčkom.	Samo zato, ker moški slika po steni, še ne pomeni, da drgne grafite.	Človek ne more slikati po steni, če drgne grafite.	0	0	1
3430782104.jpg#0r1n	neutral	A person attempts to rope a black cow while riding a horse.	The person is riding a brown horse.	horse could've been any color other than brown	A person cannot be riding a black cow and a brown horse at the same time.	Just because a person attempts to rope a black cow while riding a horse does not mean they horse is brown.	Oseba poskuša z vrvjo vrvi črno kravo med jahanjem konja.	Oseba jezdi rjavega konja.	konj bi lahko bil katere koli barve razen rjave	Samo zato, ker oseba poskuša z vrvjo črno kravo med jahanjem konja, še ne	Oseba je lahko rjavega ali rjavega.	Oseba, ki jaha konja, ne more hkrati jahati rjavega konja.	0	0	0
437327595.jpg#0r1e	entailment	A man wearing a red shirt with the number 54 hits a baseball, while a catcher prepares to catch the ball.	A red shirted batter hits the pitch.	A man in a red shirt who hits a baseball is known as a batter.	A man who hits a baseball is a batter.	To hit a baseball implies a batter hit the pitch.	Moški, oblečen v rdečo majico s številko 54, udari žogico za baseball, medtem ko se lovilec pripravlja, da ujame žogo.	Udarjalec v rdeči majici pride na igrišče.	Moški v rdeči majici, ki udari bejzbolsko žogico, je znan kot udarec.	Moški je oblečen v rdečo majico s številko 54, kar pomeni, da prihaja na igrišče.	Človek, ki udari žogico za baseball, ne more biti hkrati tudi igralec	Človek, ki udari žogico za baseball, ne more biti hkrati na igrišču	0	0	0
4434822945.jpg#3r1c	contradiction	A person is walking a bicycle down a city street.	The person is swimming.	One cannot simultaneously be walking and swimming.	Swimming a walking a bicycle can't be done by the same person at the same time.	You cannot be swimming and walking at the same time.	Oseba hodi s kolesom po mestni ulici.	Oseba plava.	Ne moremo hkrati hoditi in plavati.	Človek ne more plavati in hoditi hkrati.	Oseba ne more hoditi s kolesom.	Človek ne more hoditi in plavati hkrati.	1	0	1
226675419.jpg#3r1c	contradiction	A man is smiling at a woman in a white dress.	The man is on the moon.	It is unlikely there is a woman in a white dress on the moon.	A man cannot be on the moon if he is smiling at a women.	The man smiling at the woman cannot be on the moon.	Moški se smehlja ženski v beli obleki.	Človek je na luni.	Malo verjetno je, da je na luni ženska v beli obleki.	Človek ne more biti hkrati na luni in v beli obleki.	Človek ne more biti na luni.	Človek ne more biti na luni in hkrati na luni.	0	0	0
297725738.jpg#0r1e	entailment	A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.	The person is moving her hand.	waves is moving her hand	A wave means moving your hand as a gesture to another person.	A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back and another person is moving her hand. Sentences are not matched together.	Oseba v velikem rožnatem kostumu v obliki trikotnika maha, medtem ko se moški in ženska, oblečena v ujemajoča se črtasta in pikčasta oblačila, nasmehneta nazaj.	Oseba premika roko.	valovi premikajo njeno roko	Oseba lahko maha, medtem ko se oseba premika.	Oseba ne more biti hkrati moški in ženska.	Oseba, ki maha, ne more hkrati premikati roke.	0	0	0
3992847618.jpg#1r1e	entailment	A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left.	A male has clothes on and is outside walking down the street.	A pinstripe suit is clothes. Walking down a street would require you to be outside.	If the man is wearing a pinstriped suit then he in fact has clothes on.	A male has wearing a pinstriped suit. It is one type of cloth.	Moški v črtasti obleki hodi po ulici in ne opazi nenavadnega plakata na svoji levi.	Moški je oblečen in se zunaj sprehaja po ulici.	Obleka s črtami je oblačilo. Če hodite po ulici, morate biti zunaj.	Moški v črtasti obleki hodi po ulici, medtem ko hodi zunaj.	Človek ne more hoditi po ulici in hoditi po ulici.	Človek, ki hodi po ulici, je oblečen v črtasto obleko.	0	0	0
2474918824.jpg#3r1e	neutral	A man in a red shirt is learning how to climb a cliff.	A man is acquiring information.	The man acquiring information may be he would be a thief	Just because you are being taught something does not mean you are acquiring it.	Just because he is learning does not mean he is acquiring information.	Moški v rdeči srajci se uči plezati po pečini.	Človek pridobiva informacije.	Človek, ki pridobiva informacije, je morda tat	Človek, ki se uči plezati, je človek, ki pridobiva informacije.	Človek ne more plezati po pečini, če se uči plezati.	Človek, ki se uči plezati po pečini, ne pomeni, da pridobi informacije.	0	0	1
2713554148.jpg#1r1e	entailment	four children are dancing around a pole in a city street.	Four children are dancing around a pole.	Children is plural which means there are multiple and they are dancing.	The children are dancing in both sentences	The four children in a city street are dancing around a pole	štirje otroci plešejo okoli palice na mestni ulici.	Štirje otroci plešejo okoli palice.	Otroci so množina, kar pomeni, da jih je več in plešejo.	Otroci so štirje in ples okoli palice je enak plesom okoli palice.	Otroci ne morejo plesati okoli palice.	Otroci, ki plešejo okoli palice, so enaki otrokom, ki plešejo okoli palice.	0	0	0
60779083.jpg#3r1c	contradiction	Customers are ordering food at a cafe.	There are no customers at the cafe.	There cannot simultaneously be customers and no customers	Customers are fighting with a owner of a cafe.	There must be either no customers or some customers present.	Stranke naročajo hrano v kavarni.	V kavarni ni strank.	Hkrati ne more biti strank in nobenih strank	V kavarni ni strank.	Če stranke naročajo hrano, potem so stranke.	Ni nujno, da je v kavarni.	0	1	0
3385659425.jpg#0r1c	neutral	A woman in a white wedding dress is being dressed and fitted by two other women.	A woman got married.	We don't know that she is getting married.	Just because a woman in a white wedding dress is being dressed and fitted by two other women, doesn't mean she got married.	A woman may try on a wedding dress without having to get married.	Žensko v beli poročni obleki oblačita in popravljata drugi dve ženski.	Žena se je poročila.	Ne vemo, da se bo poročila.	Ženska je poročena, ko se je poročila.	Ženska je ženska.	Ženska, ki popravlja, se je poročila.	0	0	0
3447007090.jpg#0r1c	contradiction	A group of young adults are standing on a street in front of a brick wall with a tall wooden gate.	A group of friends watches a movie inside.	The location is either outside on a street, or inside.	If they are standing on the street, they will be outside and it would be impossible to be one who watches a movie inside.	A group of people cannot be standing on a street and simultaneously watching a movie inside.	Skupina mladih odraslih stoji na ulici pred zidanim zidom z visokimi lesenimi vrati.	Skupina prijateljev gleda film v notranjosti.	Lokacija je zunaj na ulici ali znotraj.	Skupina mladih odraslih je drugačna od skupine prijateljev.	Skupina mladih odraslih je skupina prijateljev.	Skupina mladih odraslih ne more stati na ulici in hkrati gledati film v notranjosti.	0	0	1
306315650.jpg#4r1c	contradiction	A lady stands outside of a Mexican market.	Cats enjoy taco	Lady refers to a woman, not cats. The lady is outside of a Mexican market, not having tacos.	A lady is not cats.	A lady cannot be cats.	Gospa stoji pred mehiško tržnico.	Mačke uživajo v tacoju	Lady se nanaša na žensko, ne na mačke. Gospa je zunaj mehiške tržnice in nima takosov.	Mačka ne more biti mačka, če stoji pred mehiško tržnico.	Mačke ne morejo biti hkrati v tacoju.	Gospa ne more biti hkrati na tržnici in v tacoju.	0	0	0
458160846.jpg#2r1e	entailment	A black and white picture of a city street with a food vendor in the foreground.	A cart is on a city street.	A city street with a food vendor in the foreground shows there is a cart on a city street.	A food vendor uses a cart to sell food.	Food vendors operate from carts.	Črno-bela slika mestne ulice s prodajalcem hrane v ospredju.	Na mestni ulici je voziček.	Mestna ulica s prodajalcem hrane v ospredju kaže, da je na mestni ulici voziček.	Prodajalec hrane na ulici je drug način za besedo mestni ulici.	Prodajalec hrane je na mestni ulici.	Prodajalec hrane je voziček.	0	0	0
59027529.jpg#1r1e	entailment	A middle-aged man chef is in a white doorway of a mobile kitchen.	A chef is near a kitchen.	A chef in a doorway of kitchen is near a kitchen.	A chef is in a mobile kitchen.	If the man is in the doorway of a kitchen, he is near a kitchen.	Kuhar srednjih let je v belih vratih mobilne kuhinje.	V bližini kuhinje je kuhar.	Kuhar na vratih kuhinje je blizu kuhinje.	Kuhar je v belih vratih mobilne kuhinje.	Če je kuhar, potem je v bližini kuhinje.	Kuhar srednjih let je kuhar.	0	0	0
3689975998.jpg#4r1c	contradiction	A woman runs on the beach.	The old lady spends a good time relaxing on the lounge.	Running on the beach and relaxing on a lounge are mutually exclusive actions.	The women was originally running on the beach, it later states they're relaxing on the lounge.	A woman cannot be on the beach and on the lounge simultaneously.	Ženska teče po plaži.	Stara gospa preživi lep čas in se sprošča v salonu.	Tek na plaži in sproščanje v salonu sta dejanja, ki se med seboj izključujeta.	Ženska ni stara gospa.	Ženska ne more teči po plaži, če se sprošča v salonu.	Ženska ne more teči in teči hkrati.	0	1	0
2869009633.jpg#3r1n	contradiction	Women playing volleyball in the sand near the ocean.	Women talking on the beach	The women cannot be playing volleyball and talking on the beach at once.	The women are playing volleyball, not talking.	The women can't be both playing volleyball and talking on the beach.	Ženske igrajo odbojko na pesku blizu oceana.	Ženske, ki se pogovarjajo na plaži	Ženske ne morejo hkrati igrati odbojke in se pogovarjati na plaži.	Ženske, ki igrajo odbojko na pesku, ne pomeni, da se pogovarjajo na plaži.	Ženske ne morejo igrati odbojke na pesku blizu oceana.	Ženske ne morejo igrati odbojke na pesku blizu oceana in se hkrati pogovarjati na plaži.	0	0	1
2354064281.jpg#4r1c	contradiction	Two dogs in a grassy field.	Two dogs are on a sandy beach.	A grassy field is not the same landscape as a sandy beach.	A grassy field is not the same as a sandy beach.	The two dogs are either on a grassy field or a sandy beach.	Dva psa na travnatem polju.	Dva psa sta na peščeni plaži.	Travnato polje ni enaka pokrajina kot peščena plaža.	Psom ni treba biti na peščeni plaži, da bi bili na travnatem polju.	Psi so na travnatem polju.	Peščena plaža je peščena plaža.	0	0	0
3126753745.jpg#4r1c	contradiction	A band playing on stage in a club.	The stage crew is cleaning the stage	The stage crew wouldn't be cleaning the stage if the band was still playing.	A band cannot be playing while cleaning is going on.	One cannot be playing on a stage while someone is cleaning the stage.	Skupina, ki igra na odru v klubu.	Odrska ekipa čisti oder	Odrska ekipa ne bi čistila odra, če bi skupina še igrala.	Odrska ekipa je drugačna od klubske.	Skupina je skupina, ki igra na odru v klubu.	Skupina, ki igra na odru, ne pomeni, da čisti oder.	0	0	0
5721530415.jpg#2r1n	entailment	Some folks pick out the food they want at a party.	The party-goers are perusing the buffet.	Folks at a party are called party-goers. The act of perusing involves picking out . Food being served causes the presence of a buffet.	Party-goers are folks, and perusing the buffet means to pick out food.	There is food at a buffet.	Nekateri ljudje izberejo hrano, ki jo želijo na zabavi.	Žurerji brskajo po bifeju.	Ljudje na zabavi se imenujejo žurerji. Dejanje brskanja vključuje izbiranje. Postrežena hrana povzroči prisotnost bifeja.	Ljudje niso nujno žurkerji.	Ljudje, ki iščejo hrano, ne morejo brskati po bifeju.	Ljudje ne morejo biti hkrati na zabavi in v bifeju.	0	0	0
